Year,Paper Title,Abstract,Authors,DOI,Paper PDF,Video URL,Project Page,Conference
2011,SketchChair: an all-in-one chair design system for end users (ACM TEI 2011),"SketchChair is an application that allows novice users to control the entire process of designing and building their own chairs. Chairs are designed using a simple 2D sketch-based interface and design validation tools, and are then fabricated from sheet materials, cut by a laser cutter or CNC milling machine.   [...]","Greg Saul, Manfred Lau, Jun Mitani, and Takeo Igarashi",http://dl.acm.org/citation.cfm?id=1935717,http://www-ui.is.s.u-tokyo.ac.jp/~takeo/papers/greg_tei2011_sketchchair.pdf,https://vimeo.com/21250072,http://www.sketchchair.cc/,ACM TEI 2011
2012,"3D-printing of non-assembly, articulated models (ACM SIGGRAPH Asia 2012)","In this paper, we propose a method for converting 3D models into printable, functional, non-assembly models with internal friction. To this end, we have designed an intuitive work-flow that takes an appropriately rigged 3D model, automatically fits novel 3D-printable and posable joints, and provides an interface for specifying rotational constraints. We show a number of results for different articulated models, demonstrating the effectiveness of our method.  [...]","Jacques Calì, Dan A. Calian, Cristina Amati, Rebecca Kleinberger, Anthony Steed, Jan Kautz, and Tim Weyrich",http://dl.acm.org/citation.cfm?id=2366149,http://reality.cs.ucl.ac.uk/projects/jointfit/jointfit-lowres.pdf,,http://reality.cs.ucl.ac.uk/projects/jointfit/jointfit.html,ACM SIGGRAPH Asia 2012
2012,Chopper: partitioning models into 3D-printable parts (ACM SIGGRAPH Asia 2012),"3D printing technology is rapidly maturing and becoming ubiquitous. One of the remaining obstacles to wide-scale adoption is that the object to be printed must fit into the working volume of the 3D printer. We propose a framework, called Chopper, to decompose a large 3D object into smaller parts so that each part fits into the printing volume. These parts can then be assembled to form the original object.  [...]","Linjie Luo, Ilya Baran, Szymon Rusinkiewicz, and Wojciech Matusik",hhttp://dl.acm.org/citation.cfm?id=2366148,http://people.csail.mit.edu/ibaran/papers/2012-ASIA-Chopper.pdf,,http://gfx.cs.princeton.edu/pubs/Luo_2012_CPM/,ACM SIGGRAPH Asia 2012
2012,Motion-guided mechanical toy modeling (ACM SIGGRAPH Asia 2012),"We introduce a new method to synthesize mechanical toys solely from the motion of their features. The designer specifies the geometry and a time-varying rotation and translation of each rigid feature component. Our algorithm automatically generates a mechanism assembly located in a box below the feature base that produces the specified motion. Parts in the assembly are selected from a parameterized set including belt-pulleys, gears, crank-sliders, quick-returns, and various cams (snail, ellipse, and double-ellipse). [...]","Lifeng Zhu, Weiwei Xu, John Snyder, Yang Liu, Guoping Wang, and Baining Guo",http://dl.acm.org/citation.cfm?id=2366146,http://research.microsoft.com/en-us/um/people/johnsny/papers/toy.pdf,https://www.youtube.com/watch?v=5AoHsqYLd64,,ACM SIGGRAPH Asia 2012
2012,Interactive Construction: Interactive Fabrication of Functional Mechanical Devices (ACM UIST 2012),"Constructable is an interactive drafting table that produces precise physical output in every step. Users interact by drafting directly on the workpiece using a hand-held laser pointer. The system tracks the pointer, beautifies its path, and implements its effect by cutting the workpiece using a fast high-powered laser cutter.  [...]","Stefanie Mueller, Pedro Lopes, and Patrick Baudisch",http://dl.acm.org/citation.cfm?id=2380191,http://www.stefaniemueller.org/wp-content/themes/f8-lite/images/constructable/2012-uist-mueller-lopes-baudisch-constructable.pdf,https://www.youtube.com/watch?v=8g3LaF9oVFY,https://hpi.de/baudisch/projects/constructable.html,ACM UIST 2012
2012,Midas: fabricating custom capacitive touch sensors to prototype interactive objects (ACM UIST 2012),"An increasing number of consumer products include user interfaces that rely on touch input. While digital fabrication techniques such as 3D printing make it easier to prototype the shape of custom devices, adding interactivity to such prototypes remains a challenge for many designers. We introduce Midas, a software and hardware toolkit to support the design, fabrication, and programming of flexible capacitive touch sensors for interactive objects.  [...]","Valkyrie Savage, Xiaohan Zhang, and Björn Hartmann",http://dl.acm.org/citation.cfm?id=2380189,https://bid.berkeley.edu/files/papers/savage-midas-uist2012.pdf,https://www.youtube.com/watch?v=WHcQgtjD_zY,,ACM UIST 2012
2012,Printed optics: 3D printing of embedded optical elements for interactive devices (ACM UIST 2012),"An increasing number of consumer products include user interfaces that rely on touch input. While digital fabrication techniques such as 3D printing make it easier to prototype the shape of custom devices, adding interactivity to such prototypes remains a challenge for many designers. We introduce Midas, a software and hardware toolkit to support the design, fabrication, and programming of flexible capacitive touch sensors for interactive objects.  [...]","Karl Willis, Eric Brockmeyer, Scott Hudson, and Ivan Poupyrev",http://dl.acm.org/citation.cfm?id=2380190,https://s3-us-west-1.amazonaws.com/disneyresearch/wp-content/uploads/20140805143140/printedoptics-paper.pdf,https://www.youtube.com/watch?v=eTeXTbXA6-Y,https://www.disneyresearch.com/project/printed-optics/,ACM UIST 2012
2012,Stress relief: improving structural strength of 3D printable objects (ACM SIGGRAPH 2012),"We developed a system that addresses the printability issues by providing automatic detection and correction of the problematic cases.
	Our system detects potential problematic cases by considering gravity and gripping forces by evaluating most possible places on the object where it can be held. [...]","Ondrej Stava, Juraj Vanek, Bedrich Benes, Nathan Carr, and Radomìr Mech",http://dx.doi.org/10.1145/2185520.2185544,http://hpcg.purdue.edu/bbenes/papers/Stava2012sigg.pdf,https://www.youtube.com/watch?v=J8bPXk5od4I,https://research.adobe.com/project/stress-relief-improving-structural-strength-of-3d-printable-objects/,ACM SIGGRAPH 2012
2012,Fabricating articulated characters from skinned meshes (ACM SIGGRAPH 2012),"Articulated deformable characters are widespread in computer animation. Unfortunately, we lack methods for their automatic fabrication using modern additive manufacturing (AM) technologies. We propose a method that takes a skinned mesh as input, then estimates a fabricatable single-material model that approximates the 3D kinematics of the corresponding virtual articulated character in a piecewise linear manner.  [...]","Moritz Bächer, Bernd Bickel, Doug L. James, and Hanspeter Pfister",http://dl.acm.org/citation.cfm?id=2185543,http://www.baecher.info/publications/fab_char_sig12.pdf,https://www.youtube.com/watch?v=8jwNWOlU6yw,http://www.baecher.info/fab_char_sig12.html,ACM SIGGRAPH 2012
2012,Physical Face Cloning (ACM SIGGRAPH 2012),"We propose a complete process for designing, simulating, and fabricating synthetic skin for an animatronics character that mimics the face of a given subject and its expressions. The process starts with measuring the elastic properties of a material used to manufacture synthetic soft tissue. Given these measurements we use physics-based simulation to predict the behavior of a face when it is driven by the underlying robotic actuation.  [...]","Bernd Bickel, Peter Kaufmann, Mélina Skouras, Bernhard Thomaszewski, Derek Bradley, Thabo Beeler, Phil Jackson, Steve Marschner, Wojciech Matusik, and Markus Gross",http://dl.acm.org/citation.cfm?id=2185614,https://s3-us-west-1.amazonaws.com/disneyresearch/wp-content/uploads/20140804220148/Bickel_118-0371_compressed1.pdf,https://www.youtube.com/watch?v=WnE4vcvHxo8,https://www.disneyresearch.com/project/physical-face-cloning/,ACM SIGGRAPH 2012
2012,Position-correcting tools for 2D digital fabrication (ACM SIGGRAPH 2012),"We propose a new approach to precise positioning of a tool that combines manual and automatic positioning: in our approach, the user coarsely positions a frame containing the tool in an approximation of the desired path, while the device tracks the frame's location and adjusts the position of the tool within the frame to correct the user's positioning error in real time. [...]","Alec Rivers, Ilan E. Moyer, and Frédo Durand",http://dl.acm.org/citation.cfm?id=2185584,http://www.alecrivers.com/positioncorrectingtools/files/Position-Correcting%20Tools%20for%202D%20Digital%20Fabrication.pdf,https://www.youtube.com/watch?v=-UmL7xZZSUk,http://www.alecrivers.com/positioncorrectingtools/,ACM SIGGRAPH 2012
2012,Laser cooking: a novel culinary technique for dry heating using a laser cutter and vision technology (CEA 2012),"We propose a novel cooking technology that uses a laser cutter as a dry-heating device.
	In general, dry-heat cooking heats the whole surface of an ingredient, while a laser cutter heats a small
	spot of the surface in a very short time. Our approach employs a computer-controlled laser cutter and a video
	image-processing technique to cook ingredients according to their shape and composition, allowing for new tastes,
	textures, decorations, and engraving unique identifiers to the ingredients. [...]","Kentaro Fukuchi, Kazuhiro Jo, Akifumi Tomiyama, Shunsuke Takao",https://doi.org/10.1145/2390776.2390788,,,https://fukuchilab.org/projects/laser-cooking,CEA 2012
2012,DressUp: a 3D interface for clothing design with a physical mannequin (ACM TEI 2012),"This paper introduces DressUp, a computerized system for designing dresses with
	3D input using the form of the human body as a guide. It consists of a body-sized physical mannequin,
	a screen, and tangible prop tools for drawing in 3D on and around the mannequin. As the user draws,
	he/she modifies or creates pieces of digital cloth,
	which are displayed on a model of the mannequin on the screen.  [...]","Amy Wibowo, Daisuke Sakamoto, Jun Mitani, and Takeo Igarashi",http://dx.doi.org/10.1145/2148131.2148153,http://www.jst.go.jp/erato/igarashi/projects/dressup/dressup_tei2012.pdf,https://vimeo.com/35917192,http://www.jst.go.jp/erato/igarashi/en/projects/dressup/,ACM TEI 2012
2013,3D-Printing Spatially Varying BRDFs (IEEE COMPUTER GRAPHICS AND APPLICATIONS 2013),"A new method fabricates custom surface reflectance and spatially varying bidirectional reflectance
	distribution functions (svBRDFs). Researchers optimize a microgeometry for a
	range of normal distribution functions and simulate the resulting surface's effective reflectance. [...]","Olivier Rouiller, Bernd Bickel, Wojciech Matusik, Marc Alexa, and Jan Kautz",http://dx.doi.org/10.1109/MCG.2013.82,http://cfg.mit.edu/sites/cfg.mit.edu/files/svBRDF.pdf,,http://cfg.mit.edu/content/3d-printing-spatially-varying-brdfs,IEEE COMPUTER GRAPHICS AND APPLICATIONS 2013
2013,Cost-effective printing of 3D objects with skin-frame structures (ACM SIGGRAPH Asia 2013),"In this paper, we present an automatic solution to design a skin-frame structure
	for the purpose of reducing the material cost in printing a given 3D object.
	The frame structure is designed by an optimization scheme which significantly reduces material
	volume and is guaranteed to be physically stable,
	geometrically approximate, and printable. [...]","Weiming Wang, Tuanfeng Y. Wang, Zhouwang Yang, Ligang Liu, Xin Tong, Weihua Tong, Jiansong Deng, Falai Chen, and Xiuping Liu",http://dx.doi.org/10.1145/2508363.2508382,http://staff.ustc.edu.cn/~dengjs/files/papers/3Dprinting.pdf,https://www.youtube.com/watch?v=K8oQ2qCbOqs,http://staff.ustc.edu.cn/~lgliu/Projects/2013_SigAsia_3DPrinting/default.htm,ACM SIGGRAPH Asia 2013
2013,Cross-sectional structural analysis for 3D printing optimization (ACM SIGGRAPH Asia 2013),"We propose a novel cross-sectional structural analysis technique that efficiently detects critical stress
	inside a 3D object. We slice the object into cross-sections and compute stress based on bending momentum
	equilibrium. Unlike traditional approaches based on finite element methods,
	our method doesn’t require a volumetric mesh or solution of linear systems, enabling interactive analysis speed. [...]",Nobuyuki Umetani and Ryan Schmidt,http://dx.doi.org/10.1145/2542355.2542361,https://d2f99xq7vri1nk.cloudfront.net/2013_siggatb_CrossSectionalAnalysis.pdf,https://www.youtube.com/watch?v=Y1zFrMkJ0YU,https://www.autodeskresearch.com/publications/3dprintoptimization,ACM SIGGRAPH Asia 2013
2013,Designing and fabricating mechanical automata from mocap sequences (ACM SIGGRAPH Asia 2013),We propose an automatic algorithm that takes a motion sequence of a humanoid character and generates the design for a mechanical figure that approximates the input motion when driven with a single input crank. Our approach has two stages. The motion approximation stage computes a motion that approximates the input sequence as closely as possible while remaining compatible with the geometric and motion constraints of the mechanical parts in our design.  [...],"Duygu Ceylan, Wilmot Li, Niloy J. Mitra, Maneesh Agrawala, and Mark Pauly",http://dl.acm.org/citation.cfm?id=2380190,http://vis.berkeley.edu/papers/funcmod/functional_modeling.pdf,https://www.youtube.com/watch?v=mV8pFlIG2_o,http://vis.berkeley.edu/papers/funcmod/,ACM SIGGRAPH Asia 2013
2013,Cost-effective printing of 3D objects with skin-frame structures (ACM SIGGRAPH Asia 2013),"3D printers have become popular in recent years and enable fabrication of custom objects for home users. However, the cost of the material used in printing remains high. In this paper, we present an automatic solution to design a skin-frame structure for the purpose of reducing the material cost in printing a given 3D object. The frame structure is designed by an optimization scheme which significantly reduces material volume and is guaranteed to be physically stable, geometrically approximate, and printable. Furthermore, the number of struts is minimized by solving an l0 sparsity optimization.  [...]","Weiming Wang, Tuanfeng Y. Wang, Zhouwang Yang, Ligang Liu, Xin Tong, Weihua Tong, Jiansong Deng, Falai Chen, and Xiuping Liu",http://dx.doi.org/10.1145/2508363.2508382,http://staff.ustc.edu.cn/~dengjs/files/papers/3Dprinting.pdf,,http://staff.ustc.edu.cn/~lgliu/Projects/2013_SigAsia_3DPrinting/default.htm,ACM SIGGRAPH Asia 2013
2013,Human-computer interaction for hybrid carving (ACM UIST 2013),"In this paper we explore human-computer interaction for carving, building upon our previous work with
	the FreeD digital sculpting device. We contribute a new tool design (FreeD V2), with a novel set of
	interaction techniques for the fabrication of static models:
	personalized tool paths, manual overriding, and physical merging of virtual models. [...]","Amit Zoran, Roy Shilkrot, and Joseph Paradiso",http://dx.doi.org/10.1145/2501988.2502023,http://amitz.co/ewExternalFiles/UIST_FreeD_paper.pdf,https://vimeo.com/59825221,https://www.media.mit.edu/publications/human-computer-interaction-for-hybrid-carving/,ACM UIST 2013
2013,Sauron: embedded single-camera sensing of printed physical user interfaces (ACM UIST 2013),"We present Sauron, an embedded machine vision-based system for sensing human input on physical controls like buttons, sliders, and joysticks.
	With Sauron, designers attach a single camera with integrated ring light to a printed prototype. [...]","Valkyrie Savage, Colin Chang, and Björn Hartmann",http://dx.doi.org/10.1145/2501988.2501992,https://ai2-s2-pdfs.s3.amazonaws.com/90a3/0d9707f357cfca99b7848922cc950c31d49b.pdf,https://www.youtube.com/watch?v=GNdCnmm-cw8,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2013/EECS-2013-28.html,ACM UIST 2013
2013,PacCAM: material capture and interactive 2D packing for efficient material usage on CNC cutting machines (ACM UIST 2013),"In this paper, we introduce PacCAM, a system for packing 2D parts within a given source material
	for fabrication using 2D cutting machines. Our solution combines computer vision to
	capture the source material shape with a user interface that incorporates 2D rigid body simulation and snapping. [...]","Daniel Saakes, Thomas Cambazard, Jun Mitani, and Takeo Igarashi",http://dx.doi.org/10.1145/2501988.2501990,http://www.jst.go.jp/erato/igarashi/en/projects/PacCAM/pac-cam.pdf,https://vimeo.com/74930322,http://saakes.net/projects/paccam/,ACM UIST 2013
2013,Hybrid basketry: interweaving digital practice within contemporary craft (ACM SIGGRAPH 2013),"In this paper, the author argues for merging these two distinct traditions.
	To that end, he developed hybrid basketry, a medium where 3D-printed structures are
	shaped to allow the growth and development of hand-woven patterns. While the 3D-printed
	plastic elements contribute the aesthetics of the digital curvatures and manifolds,
	the hand-woven reed, jute, and canvas fibers infuse the baskets with a unique organic appeal.  [...]",Amit Zoran,https://doi.org/10.1145/2503649.2503651,https://dam-prod.media.mit.edu/x/files/pubs/papers/2013-ZORAN_SIGGRAPH_HybridBasketry.pdf,https://www.youtube.com/watch?v=BrYauML3WOM,https://www.media.mit.edu/publications/hybrid-basketry-interweaving-digital-practice-within-contemporary-craft/,ACM SIGGRAPH 2013
2013,OpenFab: a programmable pipeline for multi-material fabrication (ACM SIGGRAPH 2013),"We present OpenFab, a programmable pipeline for synthesis of multi-material 3D printed objects that is
	inspired by RenderMan and modern GPU pipelines. The pipeline supports procedural evaluation of
	geometric detail and material composition, using shader-like fablets, allowing models to be specified
	easily and efficiently. [...]","Kiril Vidimce, Szu-Po Wang, Jonathan Ragan-Kelley, and Wojciech Matusik",http://dx.doi.org/10.1145/2461912.2461993,http://openfab.mit.edu/pdf/openfab.pdf,,http://cfg.mit.edu/content/openfab-programmable-pipeline-multi-material-fabrication,ACM SIGGRAPH 2013
